Entity,Code,Year,Share of total deaths in both sexes aged all ages years that are from digestive diseases,Share of total deaths in both sexes aged all ages years that are from infectious and parasitic diseases,Share of total deaths in both sexes aged all ages years that are from respiratory diseases,"Share of total deaths in both sexes aged all ages years that are from diabetes mellitus, blood and endocrine disorders",Share of total deaths in both sexes aged all ages years that are from intentional injuries,Share of total deaths in both sexes aged all ages years that are from perinatal conditions,Share of total deaths in both sexes aged all ages years that are from respiratory infections,Share of total deaths in both sexes aged all ages years that are from neuropsychiatric conditions,Share of total deaths in both sexes aged all ages years that are from malignant neoplasms,Share of total deaths in both sexes aged all ages years that are from cardiovascular diseases,Share of total deaths in both sexes aged all ages years that are from ill-defined injuries,Share of total deaths in both sexes aged all ages years that are from musculoskeletal diseases,Share of total deaths in both sexes aged all ages years that are from congenital anomalies,Share of total deaths in both sexes aged all ages years that are from maternal conditions,Share of total deaths in both sexes aged all ages years that are from nutritional deficiencies,Share of total deaths in both sexes aged all ages years that are from other neoplasms,Share of total deaths in both sexes aged all ages years that are from skin diseases,Share of total deaths in both sexes aged all ages years that are from unintentional injuries
Argentina,ARG,1966,"5,699276646","6,221717546","2,864839746","3,518540646","2,280017746","6,215219746","3,410673646","2,049987746","19,34122205","36,65454905","0,7340240461","0,7835234661","1,543142146","0,8731961661","0,8173131761","0,8322586261","0,5723377661","5,588160046"
Argentina,ARG,1967,"5,678520772","6,484408772","2,793462672","3,712001772","2,433304172","6,068466372","3,609640972","2,149510272","18,83973577","36,05963777","0,7831897717","0,8242358117","1,600336472","0,8513153717","0,8215278517","0,8697295017","0,5983921317","5,822583772"
Argentina,ARG,1968,"5,735940966","8,461981966","3,017869266","3,574328466","2,407967366","5,815635666","4,526450366","2,107938666","17,47362297","34,60337797","0,8430697656","0,8318795856","1,507412736","0,9547037856","0,9256385256","0,8829782056","0,6298290756","5,699374666"
Argentina,ARG,1969,"6,065849018","7,328365318","3,290373518","3,007673718","2,319069018","3,800218618","5,090064318","2,039505318","17,03827232","37,27572232","0,8141744178","0,7474196578","1,569533818","0,8580802578","1,556541318","0,8957138178","0,6094299178","5,693993318"
Argentina,ARG,1970,"5,63730555","8,08290655","3,25472425","2,77982855","2,25541745","3,90787485","5,23803325","1,83183745","16,66479125","37,44496925","0,93786302","0,65922746","1,55230165","0,80057085","1,72965615","0,81227445","0,56019707","5,85022095"
Argentina,ARG,1977,"5,226971552","6,547679552","3,025930952","2,771417252","2,249831752","4,542128952","3,622028652","1,513081752","16,58464255","41,70405055","1,465360552","0,6047024722","1,626524552","0,6197723522","1,631129252","0,6402841722","0,4519105722","5,172552552"
Argentina,ARG,1978,"4,949132476","5,670386976","3,094171476","2,686431476","1,908641176","4,742264476","3,240221276","1,450789976","17,31496848","42,74733348","1,418239276","0,5997607961","1,594269976","0,5817722561","1,526170576","0,8156232561","0,4434318261","5,216390776"
Argentina,ARG,1979,"5,199902042","4,377089442","3,124354642","3,261168042","1,518742642","5,036446042","3,024323242","1,489371742","17,47951444","44,50887644","0,9943222422","0,4579831422","1,568971242","0,5111913822","1,044550842","0,7559493122","0,3413506722","5,305892442"
Argentina,ARG,1980,"5,140822252","4,216405052","3,241806852","3,453993252","1,654547852","4,657255252","3,477369252","1,555544452","16,75596025","45,04792425","0,9596382517","0,4569441417","1,516560552","0,5009047517","0,9815683117","0,7800130917","0,3690229317","5,233719252"
Argentina,ARG,1981,"5,467865001","4,105754301","3,078073901","3,264177801","1,732112501","4,680362301","2,899904001","1,587813201","17,9281793","44,3841293","0,7780016011","0,4683609411","1,639073301","0,4716680311","0,9648389011","0,8399959411","0,3513723711","5,358317301"
Argentina,ARG,1982,"5,494506934","3,647861534","3,267871934","2,782303334","1,731579534","4,489082634","2,801482234","1,696331634","17,97398193","45,52408193","0,7540951739","0,4897359539","1,559208634","0,4970434339","1,043815684","0,8073968339","0,3564817139","5,083138934"
Argentina,ARG,1983,"5,397940606","3,720404106","3,651437006","2,617970606","1,957555506","3,828040806","3,118835106","1,723545506","17,07412131","46,55220431","0,7958773256","0,4721701656","1,473988006","0,4554267056","1,137922606","0,7627890356","0,3501819956","4,909589306"
Argentina,ARG,1984,"5,206345124","3,709402424","3,758920724","2,721523824","1,677978124","3,980966424","3,057413124","1,765224424","16,92486112","46,86017312","0,7284866244","0,4742146844","1,471259324","0,4683196644","1,134850084","0,8326320244","0,3704623244","4,856966824"
Argentina,ARG,1985,"5,041796149","3,717276349","3,815946649","2,681936149","1,897315849","3,977330449","2,691275149","1,722970849","17,96464615","46,43805915","0,8052558494","0,5167714194","1,542354449","0,4979572094","1,018901609","0,8462290494","0,3988690694","4,425108449"
Argentina,ARG,1986,"4,929281918","3,705153218","3,680946118","3,231786018","2,022758818","4,238126918","2,426767418","1,611655318","17,99319242","46,27461442","0,7381124178","0,4342714078","1,459734718","0,4025517378","0,9025538178","0,7715015178","0,3161573878","4,860834418"
Argentina,ARG,1987,"5,068775194","3,870153094","4,192502194","3,413589194","1,933235094","3,990378194","2,915612794","1,719411494","17,90141219","45,18891819","0,9435953539","0,4864972039","1,452333894","0,3904783739","0,9101097539","0,7386475539","0,3303657339","4,553984494"
Argentina,ARG,1988,"4,974604707","3,843546407","4,362623307","3,281447507","2,002463907","3,788594507","3,078174607","1,800051507","17,95390101","44,68498201","0,9943555067","0,5163935267","1,471922107","0,4242800867","1,051283957","0,7974778367","0,3618169067","4,612080607"
Argentina,ARG,1989,"4,935797831","3,916321131","3,754847431","2,814723831","2,068345431","3,749265431","2,965421031","1,857433031","18,57094643","44,60248443","1,102693491","0,5329508511","1,517341731","0,4679627211","1,122628501","0,8965654911","0,3934057711","4,730865431"
Argentina,ARG,1990,"4,694610925","3,886576325","3,966406125","2,656299625","1,868242725","3,680576125","3,095676025","1,771278525","18,27192533","45,40591333","1,260367165","0,574998205","1,517380525","0,473750525","1,239338765","0,881467165","0,395478275","4,359714325"
Argentina,ARG,1991,"6,030537303","4,016997703","3,979595303","2,725030003","1,625621303","3,624077903","2,894932603","1,820506303","18,8180183","44,0373123","1,466169903","0,4862333028","1,494910603","0,3866254328","1,080730843","0,8118289628","0,3236323228","4,377239603"
Argentina,ARG,1992,"4,627316326","4,138757826","4,302123226","3,083665026","1,816662826","3,484527526","2,827222026","2,030383226","18,54874003","44,11408203","1,675591926","0,5293434456","1,492622726","0,4643816756","1,180498726","0,9045072856","0,4124891356","4,367085026"
Argentina,ARG,1993,"4,472286133","4,169716433","4,520319133","3,329081533","1,798327533","3,174640733","3,104671533","2,027902233","18,46272513","43,87857113","1,737057133","0,5074900728","1,467013833","0,4496236328","1,131539793","0,8894841328","0,4057510428","4,473798833"
Argentina,ARG,1994,"4,557729666","3,988006366","4,532924566","3,470078066","1,846524466","3,282053666","3,086371066","2,271749866","19,71464907","41,73541607","2,083941866","0,5539182656","1,520124666","0,4507617556","1,125610066","0,9358335956","0,4145388656","4,429768066"
Argentina,ARG,1995,"4,598434171","4,141960571","5,465545771","3,618024471","1,782950771","3,063330771","3,812097471","2,349128171","18,74610577","41,11781577","2,060591871","0,5690694911","1,531984271","0,5033222911","1,213392131","0,9639284711","0,4567356911","4,005582071"
Argentina,ARG,1996,"4,673763086","4,268452986","5,417144086","3,870475786","1,838471286","2,904522986","3,894320586","2,385395586","19,64957139","39,69983039","2,169781186","0,5838509656","1,527821286","0,4895666256","1,205902236","0,9613639856","0,4523787756","4,007386786"
Argentina,ARG,1997,"4,660813804","5,362523104","7,863722604","4,124473404","1,948843004","2,748739804","3,786353604","2,437935404","19,7056636","34,9900756","2,125285404","0,7189143344","1,569381304","0,5720020644","1,169248404","1,155959804","0,5476397344","4,512425004"
Argentina,ARG,1998,"4,497961491","5,212502391","8,632804091","4,353054691","1,946387691","2,707327091","4,090366491","2,274747991","19,33663709","34,74672909","1,809689791","0,6661392511","1,534509591","0,5658465811","1,174740841","1,186875931","0,6118884111","4,651791491"
Argentina,ARG,1999,"4,40978438","5,07980568","8,90479908","4,53308228","2,02879088","2,55720978","4,51132378","2,39695738","18,86981308","34,66125008","1,76112778","0,70118156","1,49968128","0,5927348","1,15983538","1,20058928","0,65352024","4,47851328"
Argentina,ARG,2000,"4,484988323","5,400744523","8,425482323","4,637975323","2,311420323","2,616311623","4,174323823","2,450335323","19,75697382","33,52687282","1,662669523","0,7173262128","1,559475523","0,5982562428","1,162575683","1,285253783","0,6909864828","4,538028323"
Argentina,ARG,2001,"4,518550693","5,528898693","8,892879693","4,571009293","2,528979493","2,423013593","4,705302393","2,341877993","19,24011969","33,36890569","1,709929393","0,6925866633","1,520379793","0,6128499433","1,118198993","1,287464653","0,7090236333","4,230029693"
Argentina,ARG,2002,"4,472451911","5,375985811","8,820129411","4,446352211","2,634133411","2,611811111","4,686401411","2,510502711","18,87198541","33,13346541","1,675996011","0,7649070611","1,542749711","0,6732143611","1,347001211","1,496731671","0,8356512511","4,100529911"
Argentina,ARG,2003,"4,472179133","5,296374733","9,377601733","4,536445033","2,601175033","2,455748133","5,523956233","2,708174733","18,77502373","32,05955073","1,187652633","0,8305452633","1,525546433","0,6844559033","1,381775933","1,384757333","0,9935293333","4,205507933"
Argentina,ARG,2004,"4,5420791","2,6967883","9,6438463","4,6989571","2,5537106","2,5754898","5,8641418","2,8310546","19,4172403","31,6690343","1,21701513","0,96689518","1,6954759","0,82907397","1,4140484","1,6798221","1,17243592","4,5328912"
Argentina,ARG,2005,"4,576836726","5,537059726","9,373176726","4,462564826","2,312210726","2,211583426","5,912621226","2,509713126","19,75484473","31,11856673","1,188596026","0,7932501161","1,475810226","0,6697684761","1,125149656","1,502075666","0,9672159461","4,508955926"
Argentina,ARG,2006,"4,739668177","5,783754477","8,862303477","4,214546177","2,300844177","2,039822577","6,044776177","2,564260477","20,01918048","31,23010948","1,218442737","0,7976609167","1,480832677","0,6779262567","1,078524237","1,347414077","0,9269743567","4,672959077"
Argentina,ARG,2007,"4,744191419","5,401356419","9,934584719","4,245740419","2,106288719","2,021513819","6,644934719","2,776839519","18,87770272","30,83415472","1,411198059","0,8620732194","1,431913719","0,7132390294","1,149543079","1,409923219","0,9468481594","4,487954319"
Argentina,ARG,2008,"4,854263597","5,284059397","9,478908597","4,029375397","2,235443797","2,138005597","6,190035197","2,850105597","19,5303986","30,5692836","1,543699037","0,9006733967","1,536357827","0,7181435367","1,093214017","1,439253297","1,012126727","4,596652797"
Argentina,ARG,2009,"4,731612107","5,324917707","9,256105707","4,045550507","2,199379307","2,063227207","7,038249407","2,782746907","19,59771171","30,20334071","1,537169407","0,9448575067","1,557708147","0,7825349067","1,116124427","1,474559257","1,062458577","4,281746507"
Argentina,ARG,2010,"4,625367367","5,277916667","9,642788167","4,034468867","2,149853767","2,005686067","7,023106167","2,714194967","18,94509017","31,14466217","1,504576267","0,9487713072","1,496356167","0,7401073172","1,113173227","1,450513367","1,046147807","4,137220167"
Argentina,ARG,2011,"4,732277947","5,231148947","9,828341947","4,049013547","2,116676847","1,955017347","7,110440947","2,648385247","18,84717595","30,88670695","1,598861217","0,9171757667","1,481405447","0,7305726767","1,082624197","1,412889597","1,045682487","4,325602947"
Argentina,ARG,2012,"4,864351927","5,032098927","9,523118927","4,064715227","2,315667427","1,864768027","7,184433927","2,758683727","19,27704693","30,59840293","1,464634387","0,9308074972","1,448868727","0,7104028972","1,094770877","1,357427567","1,112113147","4,397686927"
Argentina,ARG,2013,"4,943601934","5,166286634","9,260902934","4,042965634","2,228394134","1,878902634","8,166654934","2,869540634","19,15553093","29,49800093","1,593123884","0,9720807944","1,447141634","0,7187768644","1,079402474","1,367346234","1,137857234","4,473489534"
Argentina,ARG,2014,"5,154184634","5,201073934","9,398443634","4,069830234","2,332131034","1,846780034","8,501335934","2,772145334","19,36661463","28,92023363","1,584386134","0,9319725939","1,469181274","0,6956628839","1,016435474","1,416081434","1,171698134","4,151809034"
Argentina,ARG,2020,"4,570077489","4,061331289","7,413368289","3,973882289","1,716154689","1,172322589","22,32728789","2,420000089","16,26831689","26,37918289","1,594682989","0,7874403894","0,9626043294","0,6032391694","0,8860531594","1,212192989","1,206345389","2,445517189"
Argentina,ARG,2019,"5,187085157","5,006825157","8,869546157","4,379717857","2,045405257","1,433222457","10,49188916","2,902812157","18,79527616","29,06689516","1,865730157","0,9240455567","1,213164407","0,6720907767","1,035245107","1,433807687","1,433807687","3,243433957"
Argentina,ARG,2018,"5,276757663","4,863484363","9,065097363","4,286029563","2,062903463","1,473276263","10,42486236","2,755552363","18,71764436","29,03374536","1,861017063","0,8818677633","1,231012563","0,6710745633","0,9967649233","1,413304163","1,387771463","3,597834363"
Argentina,ARG,2017,"5,138020942","4,835405642","9,292980942","4,176617342","1,998899542","1,524197542","10,80166694","2,608227542","18,90642894","28,99984694","1,734038142","0,8738966917","1,239434842","0,6192784417","0,9695980417","1,354159342","1,350354742","3,576947442"
Argentina,ARG,2016,"5,384961737","4,642352737","9,071728737","4,336169537","2,032368237","1,537105197","10,57865474","2,890367137","18,35091374","29,45605774","1,606224937","0,8978903372","1,266909837","0,6482594772","0,9912876772","1,444564697","1,378586767","3,485596737"
Argentina,ARG,2015,"5,441566855","4,762776255","8,916586855","4,286654855","2,161048355","1,637738355","9,286533855","2,774198155","19,36009986","29,41067686","1,422364555","0,879997615","1,325869855","0,641634465","0,995549295","1,398770255","1,244197155","4,053736555"
Denmark,DNK,1951,"4,531826074","3,462250774","1,183476374","1,868425874","3,114507274","3,425368874","5,282636174","1,715629474","20,38577357","44,25099457","0,4768095739","0,4695481739","1,452187374","0,4827202739","0,7646033739","1,549660974","0,3430959439","5,240485274"
Denmark,DNK,1952,"4,527528676","3,794899876","1,183473976","1,487246876","2,942293576","3,457941676","3,971037076","2,000342276","20,15779368","46,45839868","0,4583684761","0,4253180761","1,410665576","0,4304234961","0,7137747061","1,436192676","0,3283149561","4,815985676"
Denmark,DNK,1953,"4,443698236","3,010407036","1,129847976","1,279784436","3,127306736","3,320445136","3,910025836","2,217522636","20,92400374","46,72069674","0,4164745361","0,4233676461","1,488170636","0,4691109761","0,6114235561","1,254371496","0,3191745161","4,934168136"
Denmark,DNK,1954,"4,42842158","2,44521938","1,36210548","1,32199028","2,93913958","3,20991788","4,05484708","1,99392198","21,26432358","47,24652458","0,41446958","0,39933757","1,32449748","0,40936641","0,59991422","1,21668744","0,29152762","5,07778828"
Denmark,DNK,1955,"4,296791721","2,064314921","1,053771281","1,316718921","2,989787321","3,340384221","3,049079421","1,703406421","22,07153372","48,06983172","0,4226157211","0,4788956211","1,329608421","0,3422660011","0,5691227511","1,218757921","0,2649284711","5,418185421"
Denmark,DNK,1956,"4,187269264","2,002374064","1,206718664","1,504773764","2,909168664","3,141550664","2,603535964","1,724526264","22,39893966","48,49391166","0,4607766639","0,4893657939","1,381005064","0,3554936039","0,5171506039","1,148623164","0,3049758039","5,169840664"
Denmark,DNK,1957,"4,168487856","1,820057456","1,388713056","1,434243856","2,706709856","2,766618656","3,629307456","1,702635956","21,86319186","49,05226686","0,3746213556","0,5140426056","1,261706156","0,3486939356","0,5140426056","1,086772056","0,3127485756","5,055139856"
Denmark,DNK,1958,"4,178144842","1,634833942","1,288346842","1,310002342","2,650233342","2,736855142","2,801821342","1,490464342","22,17862514","50,05879814","0,4826086422","0,4870957222","1,358125542","0,3619754122","0,4870957222","1,119915742","0,3355076522","5,039550142"
Denmark,DNK,1959,"3,980168138","1,745769738","1,373369938","1,496712638","2,621027738","2,647119338","4,511490338","1,510944438","23,09826834","47,12398034","0,4554565383","0,4957401083","1,435041338","0,3771414683","0,4886241983","1,053153738","0,3581656883","5,227825938"
Denmark,DNK,1960,"4,148146065","1,648203365","1,341433865","1,597838165","2,481517665","2,609719865","4,047415865","1,449032065","22,26815367","48,95252167","0,416247565","0,524144825","1,387220365","0,350156135","0,505830225","0,936223305","0,343288165","4,992907165"
Denmark,DNK,1961,"3,892433383","1,553481583","1,618131783","1,615822783","2,139951283","2,710258283","3,349833483","1,468050983","23,04967168","48,72272768","0,4275703828","0,6068179828","1,412636583","0,3343635828","0,5398588628","0,9508493828","0,3228189128","5,284721383"
Denmark,DNK,1962,"3,579678087","1,424562687","2,331166987","1,422356887","3,177568287","2,342196287","4,358343287","1,323093487","22,36469629","48,59225229","0,3871280872","0,4694296272","1,281182387","0,2598738872","0,3988424272","0,8708942872","0,2444329372","5,172301787"
Denmark,DNK,1963,"3,779810187","1,328583587","2,165321387","1,440002987","2,300772487","2,377236587","3,347240987","1,398493787","22,92646799","49,31320399","0,4232767872","0,5792335472","1,337322387","0,3148855572","0,4743682372","0,9265998872","0,2886692372","5,278510387"
Denmark,DNK,1964,"3,826802754","1,306027854","2,292975254","1,316709054","2,412605354","2,275885454","3,117567854","1,250485304","22,65571155","49,91426055","0,4182783544","0,5241602944","1,273984054","0,2806278044","0,4258928044","0,9535465844","0,2699465544","5,484532554"
Denmark,DNK,1965,"3,41837951","1,22558031","2,10687671","2,19250041","2,20503061","2,35957071","2,58302741","1,23602211","22,63983151","50,62621451","0,32669291","0,62830351","1,25690591","0,25239507","0,38605141","0,90605811","0,24195317","5,40860611"
Denmark,DNK,1966,"3,440558153","1,233602853","2,447529553","2,167860253","1,993573653","2,123275353","3,122383553","0,9904121528","21,25832705","52,46779405","0,3646806528","0,5303765028","1,107954303","0,2466540628","0,3520366828","0,8120723528","0,2284147628","5,112494053"
Denmark,DNK,1967,"3,266583174","1,155202674","2,647802374","2,281969074","2,049926274","1,834607374","3,354383274","1,228369374","21,78819837","51,50012937","0,3548671744","0,6639408744","1,140569324","0,2479361844","0,4193551944","0,8019122744","0,2500266544","5,014220974"
Denmark,DNK,1968,"3,406103698","1,105405898","2,577175698","2,543341898","2,378402398","1,712299498","3,854401398","1,259772498","22,2219214","50,2807064","0,3453390978","0,5915551578","1,088488998","0,2299565178","0,3822085778","0,6211597378","0,2341857378","5,167575398"
Denmark,DNK,1969,"3,620734837","1,023901037","3,370437537","2,027175737","2,417222237","1,522409737","3,282833537","1,413947537","22,78515854","49,61076554","0,3501843367","0,5942241367","1,040587537","0,2521512567","0,3522701467","0,6651416767","0,3022107067","5,368643937"
Denmark,DNK,1970,"3,388067611","1,022467241","3,363188411","1,816529411","2,486195511","1,401875511","3,178667511","1,567737011","22,89753201","50,09053401","0,4087795111","0,5974470111","1,134423781","0,2325516311","0,3610943211","0,6326926111","0,2760902811","5,144126611"
Denmark,DNK,1971,"3,367013869","0,9334307694","3,238068769","2,100076969","2,828719069","1,418509969","2,734568769","1,582249769","23,69940507","49,45977107","0,4770060294","0,6120913694","1,142199019","0,2252560594","0,3357804394","0,5834369194","0,2825649994","4,979851069"
Denmark,DNK,1972,"3,388068176","0,9239984756","3,334544676","2,121342176","2,638737476","1,278840476","3,283003376","1,411658276","23,64577548","49,55518248","0,5334741756","0,6504332456","0,9894162756","0,2301735456","0,3550620356","0,6563802956","0,2876618956","4,716247476"
Denmark,DNK,1973,"3,366146235","0,884292835","3,370123535","1,900500435","2,691988835","1,111000595","2,719830235","1,476914835","23,38404384","50,68642184","0,530310515","0,576049805","0,957873435","0,230022165","0,357296695","0,570083835","0,289682105","4,897418235"
Denmark,DNK,1974,"3,266231192","0,8626189222","3,671050192","1,954462192","2,847788592","1,037780992","4,657796192","1,199319292","22,83377519","50,26414819","0,5181336422","0,5259185922","0,8704039422","0,2300894122","0,3702190322","0,6154458922","0,2748530422","3,999965492"
Denmark,DNK,1975,"3,331424374","0,7938544739","3,309702074","1,852327274","2,697525674","1,038725014","4,066036074","1,253974174","23,70504967","50,40976367","0,6299491739","0,5430596439","0,8846935739","0,2428957239","0,3969272039","0,6161258539","0,2981890739","3,929777274"
Denmark,DNK,1976,"3,125148591","0,7807443606","3,582865491","1,751997491","2,555793391","0,8216784506","5,517929391","1,177060291","23,45820339","50,00951039","0,5463039706","0,5370007906","0,8812188406","0,2392986706","0,4030348406","0,5946805606","0,2895359006","3,727995191"
Denmark,DNK,1977,"3,326999668","0,7977004078","3,584115068","1,690628768","2,798816668","0,7179746678","3,606039768","1,295986268","25,17783307","49,20119107","0,5585231878","0,5824408878","0,8555015678","0,2715104978","0,4389345578","0,7040226478","0,3751539678","4,016627268"
Denmark,DNK,1978,"2,834663851","0,8414634011","3,631179251","1,649663251","2,604289851","0,7463810911","3,709146851","1,446187051","25,05323085","49,64913185","0,5333966511","0,5695279511","0,8528733511","0,2994940811","0,5010686511","0,6684135511","0,3413303111","4,068558151"
Denmark,DNK,1979,"3,337890814","0,7941618644","3,652408314","1,629196514","2,782427214","0,6525370144","3,847372214","1,550107314","24,95866651","49,27583151","0,6010370944","0,5421800144","0,8787688744","0,2791624944","0,4244658844","0,6212692144","0,2993946144","3,873122514"
Denmark,DNK,1980,"3,356135874","0,7693896744","4,008632474","1,650706874","3,316807374","0,6299520744","4,037235074","1,593501674","25,03153167","47,93147767","0,7050338744","0,5441443344","0,7783279744","0,3063853344","0,4690625344","0,7801156344","0,3546521944","3,736907674"
Denmark,DNK,1981,"3,222689712","0,7759720817","4,019253912","1,902210612","3,142498512","0,5603473117","3,935498712","1,666983612","24,84753771","48,36311171","0,6476664317","0,5567832417","0,7367675717","0,2859157617","0,4712461517","0,7973563417","0,3358124017","3,732348212"
Denmark,DNK,1982,"3,309705411","0,7350420511","4,191514011","2,021466611","3,075645211","0,5735585611","3,438529411","1,883570511","25,28415831","47,75213531","0,6515786811","0,5663008911","0,7568150911","0,3032098411","0,5064250011","0,7622583411","0,3812299411","3,806856811"
Denmark,DNK,1983,"3,129113558","0,7334302883","4,053639758","2,153615258","2,970924458","0,5523918783","3,770657458","1,793295958","26,19657196","46,79979796","0,7088231383","0,5611801383","0,6912465983","0,3010472683","0,5066928583","0,7457338783","0,3836570283","3,948180558"
Denmark,DNK,1984,"3,397179508","0,6894839078","4,396510808","2,024858108","2,959092308","0,5241015778","3,613583908","1,936888808","25,84342981","46,65169381","0,6666118678","0,5276203478","0,7950470678","0,2953813578","0,4836356878","0,7334685578","0,3464035578","4,115009008"
Denmark,DNK,1985,"3,552693434","0,7822813339","4,955978834","1,927293234","2,855355534","0,5240079639","3,473489834","2,170070134","25,27692583","46,40540883","0,6273173339","0,5274516039","0,7340702939","0,2846746539","0,5033460939","0,8029432339","0,3328856839","4,263806134"
Denmark,DNK,1986,"3,662164764","0,8478959639","5,086606764","2,045604364","2,846961264","0,6038542239","2,705036464","2,062912364","25,61207576","46,51485776","0,6194313339","0,5346225239","0,7180865239","0,2940423539","0,4775063539","0,8375111939","0,3390429539","4,191787064"
Denmark,DNK,1987,"3,733406379","0,8698368194","4,884024879","2,112158879","2,861358379","0,5687726794","2,281723679","2,221164779","25,70589538","46,45509638","0,5445491194","0,5601214294","0,7504493094","0,3023136494","0,4978322894","0,8231199494","0,3473002394","4,480875779"
Denmark,DNK,1988,"3,703861604","0,8130474039","4,981277404","2,150155604","2,668626004","0,5538121639","2,404274404","2,539008504","26,0083274","45,4970184","0,5862165539","0,5725726039","0,7499440839","0,2962823939","0,4753593839","0,9034387039","0,3730296739","4,723747704"
Denmark,DNK,1989,"3,895284493","1,030886233","4,999059793","2,063559393","2,776273093","0,6465964328","2,889697893","2,400447693","25,63559249","44,85177449","0,6228957428","0,6008879528","0,7854147928","0,3452590228","0,5484078328","0,9597841428","0,4180540128","4,530124493"
Denmark,DNK,1990,"3,812389924","1,128734324","5,263148124","2,031538524","2,478814424","0,6319445239","3,074632124","2,678520724","25,14464512","45,23245012","0,6682547239","0,6236921639","0,7837872539","0,3480645839","0,5560231239","0,9801925239","0,4190345639","4,144133124"
Denmark,DNK,1991,"3,881433754","1,177364054","5,073314954","2,008477654","2,448479154","0,6699295144","3,031775954","2,583345354","25,56119395","44,70209695","0,6969027944","0,6429562544","0,8047958544","0,3833386144","0,5856380844","1,013838654","0,4457142844","4,289404154"
Denmark,DNK,1992,"4,072202146","1,294149206","5,183753746","2,119967546","2,412307346","0,6648756261","3,277765046","2,914404746","25,37336175","43,55788175","0,7276378161","0,6780887161","0,8779367661","0,4270399261","0,6632239861","1,005112816","0,4898021261","4,260488946"
Denmark,DNK,1993,"3,992128156","1,359791756","5,359471856","2,319331156","2,354514256","0,6225456556","3,654690356","3,125344356","25,16596536","43,04378236","0,7089042156","0,6593279956","0,8256481756","0,4082485156","0,6257441156","1,022353726","0,4642216456","4,287986356"
